,PassengerId,Name,Title,Sex,Age,AgeCategory,FamilyMembers,Pclass,Ticket,Fare,Embarked,C,Q,S,Survived
0,1,"Braund, Mr. Owen Harris",Mr,1,22.0,Teenager,1,3,A/5 21171,7.25,S,0.0,0.0,1.0,0
1,2,"Cumings, Mrs. John Bradley (Florence Briggs Thayer)",Mrs,0,38.0,Adult,1,1,PC 17599,71.2833,C,1.0,0.0,0.0,1
2,3,"Heikkinen, Miss. Laina",Miss,0,26.0,Youngadult,0,3,STON/O2. 3101282,7.925,S,0.0,0.0,1.0,1
3,4,"Futrelle, Mrs. Jacques Heath (Lily May Peel)",Mrs,0,35.0,Youngadult,1,1,113803,53.1,S,0.0,0.0,1.0,1
4,5,"Allen, Mr. William Henry",Mr,1,35.0,Youngadult,0,3,373450,8.05,S,0.0,0.0,1.0,0
5,6,"Moran, Mr. James",Mr,1,28.0,Youngadult,0,3,330877,8.4583,Q,0.0,1.0,0.0,0
6,7,"McCarthy, Mr. Timothy J",Mr,1,54.0,Adult,0,1,17463,51.8625,S,0.0,0.0,1.0,0
7,8,"Palsson, Master. Gosta Leonard",Master,1,2.0,Child,4,3,349909,21.075,S,0.0,0.0,1.0,0
8,9,"Johnson, Mrs. Oscar W (Elisabeth Vilhelmina Berg)",Mrs,0,27.0,Youngadult,2,3,347742,11.1333,S,0.0,0.0,1.0,1
9,10,"Nasser, Mrs. Nicholas (Adele Achem)",Mrs,0,14.0,Teenager,1,2,237736,30.0708,C,1.0,0.0,0.0,1
10,11,"Sandstrom, Miss. Marguerite Rut",Miss,0,4.0,Child,2,3,PP 9549,16.7,S,0.0,0.0,1.0,1
11,12,"Bonnell, Miss. Elizabeth",Miss,0,58.0,Adult,0,1,113783,26.55,S,0.0,0.0,1.0,1
12,13,"Saundercock, Mr. William Henry",Mr,1,20.0,Teenager,0,3,A/5. 2151,8.05,S,0.0,0.0,1.0,0
13,14,"Andersson, Mr. Anders Johan",Mr,1,39.0,Adult,6,3,347082,31.275,S,0.0,0.0,1.0,0
14,15,"Vestrom, Miss. Hulda Amanda Adolfina",Miss,0,14.0,Teenager,0,3,350406,7.8542,S,0.0,0.0,1.0,0
15,16,"Hewlett, Mrs. (Mary D Kingcome) ",Mrs,0,55.0,Adult,0,2,248706,16.0,S,0.0,0.0,1.0,1
16,17,"Rice, Master. Eugene",Master,1,2.0,Child,5,3,382652,29.125,Q,0.0,1.0,0.0,0
17,18,"Williams, Mr. Charles Eugene",Mr,1,28.0,Youngadult,0,2,244373,13.0,S,0.0,0.0,1.0,1
18,19,"Vander Planke, Mrs. Julius (Emelia Maria Vandemoortele)",Mrs,0,31.0,Youngadult,1,3,345763,18.0,S,0.0,0.0,1.0,0
19,20,"Masselmani, Mrs. Fatima",Mrs,0,28.0,Youngadult,0,3,2649,7.225,C,1.0,0.0,0.0,1
20,21,"Fynney, Mr. Joseph J",Mr,1,35.0,Youngadult,0,2,239865,26.0,S,0.0,0.0,1.0,0
21,22,"Beesley, Mr. Lawrence",Mr,1,34.0,Youngadult,0,2,248698,13.0,S,0.0,0.0,1.0,1
22,23,"McGowan, Miss. Anna ""Annie""",Miss,0,15.0,Teenager,0,3,330923,8.0292,Q,0.0,1.0,0.0,1
23,24,"Sloper, Mr. William Thompson",Mr,1,28.0,Youngadult,0,1,113788,35.5,S,0.0,0.0,1.0,1
24,25,"Palsson, Miss. Torborg Danira",Miss,0,8.0,Child,4,3,349909,21.075,S,0.0,0.0,1.0,0
25,26,"Asplund, Mrs. Carl Oscar (Selma Augusta Emilia Johansson)",Mrs,0,38.0,Adult,6,3,347077,31.3875,S,0.0,0.0,1.0,1
26,27,"Emir, Mr. Farred Chehab",Mr,1,28.0,Youngadult,0,3,2631,7.225,C,1.0,0.0,0.0,0
27,28,"Fortune, Mr. Charles Alexander",Mr,1,19.0,Teenager,5,1,19950,263.0,S,0.0,0.0,1.0,0
28,29,"O'Dwyer, Miss. Ellen ""Nellie""",Miss,0,28.0,Youngadult,0,3,330959,7.8792,Q,0.0,1.0,0.0,1
29,30,"Todoroff, Mr. Lalio",Mr,1,28.0,Youngadult,0,3,349216,7.8958,S,0.0,0.0,1.0,0
30,31,"Uruchurtu, Don. Manuel E",Royalty,1,40.0,Adult,0,1,PC 17601,27.7208,C,1.0,0.0,0.0,0
31,32,"Spencer, Mrs. William Augustus (Marie Eugenie)",Mrs,0,28.0,Youngadult,1,1,PC 17569,146.5208,C,1.0,0.0,0.0,1
32,33,"Glynn, Miss. Mary Agatha",Miss,0,28.0,Youngadult,0,3,335677,7.75,Q,0.0,1.0,0.0,1
33,34,"Wheadon, Mr. Edward H",Mr,1,66.0,Elderly,0,2,C.A. 24579,10.5,S,0.0,0.0,1.0,0
34,35,"Meyer, Mr. Edgar Joseph",Mr,1,28.0,Youngadult,1,1,PC 17604,82.1708,C,1.0,0.0,0.0,0
35,36,"Holverson, Mr. Alexander Oskar",Mr,1,42.0,Adult,1,1,113789,52.0,S,0.0,0.0,1.0,0
36,37,"Mamee, Mr. Hanna",Mr,1,28.0,Youngadult,0,3,2677,7.2292,C,1.0,0.0,0.0,1
37,38,"Cann, Mr. Ernest Charles",Mr,1,21.0,Teenager,0,3,A./5. 2152,8.05,S,0.0,0.0,1.0,0
38,39,"Vander Planke, Miss. Augusta Maria",Miss,0,18.0,Teenager,2,3,345764,18.0,S,0.0,0.0,1.0,0
39,40,"Nicola-Yarred, Miss. Jamila",Miss,0,14.0,Teenager,1,3,2651,11.2417,C,1.0,0.0,0.0,1
40,41,"Ahlin, Mrs. Johan (Johanna Persdotter Larsson)",Mrs,0,40.0,Adult,1,3,7546,9.475,S,0.0,0.0,1.0,0
41,42,"Turpin, Mrs. William John Robert (Dorothy Ann Wonnacott)",Mrs,0,27.0,Youngadult,1,2,11668,21.0,S,0.0,0.0,1.0,0
42,43,"Kraeff, Mr. Theodor",Mr,1,28.0,Youngadult,0,3,349253,7.8958,C,1.0,0.0,0.0,0
43,44,"Laroche, Miss. Simonne Marie Anne Andree",Miss,0,3.0,Child,3,2,SC/Paris 2123,41.5792,C,1.0,0.0,0.0,1
44,45,"Devaney, Miss. Margaret Delia",Miss,0,19.0,Teenager,0,3,330958,7.8792,Q,0.0,1.0,0.0,1
45,46,"Rogers, Mr. William John",Mr,1,28.0,Youngadult,0,3,S.C./A.4. 23567,8.05,S,0.0,0.0,1.0,0
46,47,"Lennon, Mr. Denis",Mr,1,28.0,Youngadult,1,3,370371,15.5,Q,0.0,1.0,0.0,0
47,48,"O'Driscoll, Miss. Bridget",Miss,0,28.0,Youngadult,0,3,14311,7.75,Q,0.0,1.0,0.0,1
48,49,"Samaan, Mr. Youssef",Mr,1,28.0,Youngadult,2,3,2662,21.6792,C,1.0,0.0,0.0,0
49,50,"Arnold-Franchi, Mrs. Josef (Josefine Franchi)",Mrs,0,18.0,Teenager,1,3,349237,17.8,S,0.0,0.0,1.0,0
50,51,"Panula, Master. Juha Niilo",Master,1,7.0,Child,5,3,3101295,39.6875,S,0.0,0.0,1.0,0
51,52,"Nosworthy, Mr. Richard Cater",Mr,1,21.0,Teenager,0,3,A/4. 39886,7.8,S,0.0,0.0,1.0,0
52,53,"Harper, Mrs. Henry Sleeper (Myna Haxtun)",Mrs,0,49.0,Adult,1,1,PC 17572,76.7292,C,1.0,0.0,0.0,1
53,54,"Faunthorpe, Mrs. Lizzie (Elizabeth Anne Wilkinson)",Mrs,0,29.0,Youngadult,1,2,2926,26.0,S,0.0,0.0,1.0,1
54,55,"Ostby, Mr. Engelhart Cornelius",Mr,1,65.0,Elderly,1,1,113509,61.9792,C,1.0,0.0,0.0,0
55,56,"Woolner, Mr. Hugh",Mr,1,28.0,Youngadult,0,1,19947,35.5,S,0.0,0.0,1.0,1
56,57,"Rugg, Miss. Emily",Miss,0,21.0,Teenager,0,2,C.A. 31026,10.5,S,0.0,0.0,1.0,1
57,58,"Novel, Mr. Mansouer",Mr,1,28.5,Youngadult,0,3,2697,7.2292,C,1.0,0.0,0.0,0
58,59,"West, Miss. Constance Mirium",Miss,0,5.0,Child,3,2,C.A. 34651,27.75,S,0.0,0.0,1.0,1
59,60,"Goodwin, Master. William Frederick",Master,1,11.0,Child,7,3,CA 2144,46.9,S,0.0,0.0,1.0,0
60,61,"Sirayanian, Mr. Orsen",Mr,1,22.0,Teenager,0,3,2669,7.2292,C,1.0,0.0,0.0,0
61,62,"Icard, Miss. Amelie",Miss,0,38.0,Adult,0,1,113572,80.0,S,0.0,0.0,1.0,1
62,63,"Harris, Mr. Henry Birkhardt",Mr,1,45.0,Adult,1,1,36973,83.475,S,0.0,0.0,1.0,0
63,64,"Skoog, Master. Harald",Master,1,4.0,Child,5,3,347088,27.9,S,0.0,0.0,1.0,0
64,65,"Stewart, Mr. Albert A",Mr,1,28.0,Youngadult,0,1,PC 17605,27.7208,C,1.0,0.0,0.0,0
65,66,"Moubarek, Master. Gerios",Master,1,28.0,Youngadult,2,3,2661,15.2458,C,1.0,0.0,0.0,1
66,67,"Nye, Mrs. (Elizabeth Ramell)",Mrs,0,29.0,Youngadult,0,2,C.A. 29395,10.5,S,0.0,0.0,1.0,1
67,68,"Crease, Mr. Ernest James",Mr,1,19.0,Teenager,0,3,S.P. 3464,8.1583,S,0.0,0.0,1.0,0
68,69,"Andersson, Miss. Erna Alexandra",Miss,0,17.0,Teenager,6,3,3101281,7.925,S,0.0,0.0,1.0,1
69,70,"Kink, Mr. Vincenz",Mr,1,26.0,Youngadult,2,3,315151,8.6625,S,0.0,0.0,1.0,0
70,71,"Jenkin, Mr. Stephen Curnow",Mr,1,32.0,Youngadult,0,2,C.A. 33111,10.5,S,0.0,0.0,1.0,0
71,72,"Goodwin, Miss. Lillian Amy",Miss,0,16.0,Teenager,7,3,CA 2144,46.9,S,0.0,0.0,1.0,0
72,73,"Hood, Mr. Ambrose Jr",Mr,1,21.0,Teenager,0,2,S.O.C. 14879,73.5,S,0.0,0.0,1.0,0
73,74,"Chronopoulos, Mr. Apostolos",Mr,1,26.0,Youngadult,1,3,2680,14.4542,C,1.0,0.0,0.0,0
74,75,"Bing, Mr. Lee",Mr,1,32.0,Youngadult,0,3,1601,56.4958,S,0.0,0.0,1.0,1
75,76,"Moen, Mr. Sigurd Hansen",Mr,1,25.0,Teenager,0,3,348123,7.65,S,0.0,0.0,1.0,0
76,77,"Staneff, Mr. Ivan",Mr,1,28.0,Youngadult,0,3,349208,7.8958,S,0.0,0.0,1.0,0
77,78,"Moutal, Mr. Rahamin Haim",Mr,1,28.0,Youngadult,0,3,374746,8.05,S,0.0,0.0,1.0,0
78,79,"Caldwell, Master. Alden Gates",Master,1,0.83,Child,2,2,248738,29.0,S,0.0,0.0,1.0,1
79,80,"Dowdell, Miss. Elizabeth",Miss,0,30.0,Youngadult,0,3,364516,12.475,S,0.0,0.0,1.0,1
80,81,"Waelens, Mr. Achille",Mr,1,22.0,Teenager,0,3,345767,9.0,S,0.0,0.0,1.0,0
81,82,"Sheerlinck, Mr. Jan Baptist",Mr,1,29.0,Youngadult,0,3,345779,9.5,S,0.0,0.0,1.0,1
82,83,"McDermott, Miss. Brigdet Delia",Miss,0,28.0,Youngadult,0,3,330932,7.7875,Q,0.0,1.0,0.0,1
83,84,"Carrau, Mr. Francisco M",Mr,1,28.0,Youngadult,0,1,113059,47.1,S,0.0,0.0,1.0,0
84,85,"Ilett, Miss. Bertha",Miss,0,17.0,Teenager,0,2,SO/C 14885,10.5,S,0.0,0.0,1.0,1
85,86,"Backstrom, Mrs. Karl Alfred (Maria Mathilda Gustafsson)",Mrs,0,33.0,Youngadult,3,3,3101278,15.85,S,0.0,0.0,1.0,1
86,87,"Ford, Mr. William Neal",Mr,1,16.0,Teenager,4,3,W./C. 6608,34.375,S,0.0,0.0,1.0,0
87,88,"Slocovski, Mr. Selman Francis",Mr,1,28.0,Youngadult,0,3,SOTON/OQ 392086,8.05,S,0.0,0.0,1.0,0
88,89,"Fortune, Miss. Mabel Helen",Miss,0,23.0,Teenager,5,1,19950,263.0,S,0.0,0.0,1.0,1
89,90,"Celotti, Mr. Francesco",Mr,1,24.0,Teenager,0,3,343275,8.05,S,0.0,0.0,1.0,0
90,91,"Christmann, Mr. Emil",Mr,1,29.0,Youngadult,0,3,343276,8.05,S,0.0,0.0,1.0,0
91,92,"Andreasson, Mr. Paul Edvin",Mr,1,20.0,Teenager,0,3,347466,7.8542,S,0.0,0.0,1.0,0
92,93,"Chaffee, Mr. Herbert Fuller",Mr,1,46.0,Adult,1,1,W.E.P. 5734,61.175,S,0.0,0.0,1.0,0
93,94,"Dean, Mr. Bertram Frank",Mr,1,26.0,Youngadult,3,3,C.A. 2315,20.575,S,0.0,0.0,1.0,0
94,95,"Coxon, Mr. Daniel",Mr,1,59.0,Adult,0,3,364500,7.25,S,0.0,0.0,1.0,0
95,96,"Shorney, Mr. Charles Joseph",Mr,1,28.0,Youngadult,0,3,374910,8.05,S,0.0,0.0,1.0,0
96,97,"Goldschmidt, Mr. George B",Mr,1,71.0,Elderly,0,1,PC 17754,34.6542,C,1.0,0.0,0.0,0
97,98,"Greenfield, Mr. William Bertram",Mr,1,23.0,Teenager,1,1,PC 17759,63.3583,C,1.0,0.0,0.0,1
98,99,"Doling, Mrs. John T (Ada Julia Bone)",Mrs,0,34.0,Youngadult,1,2,231919,23.0,S,0.0,0.0,1.0,1
99,100,"Kantor, Mr. Sinai",Mr,1,34.0,Youngadult,1,2,244367,26.0,S,0.0,0.0,1.0,0
100,101,"Petranec, Miss. Matilda",Miss,0,28.0,Youngadult,0,3,349245,7.8958,S,0.0,0.0,1.0,0
101,102,"Petroff, Mr. Pastcho (""Pentcho"")",Mr,1,28.0,Youngadult,0,3,349215,7.8958,S,0.0,0.0,1.0,0
102,103,"White, Mr. Richard Frasar",Mr,1,21.0,Teenager,1,1,35281,77.2875,S,0.0,0.0,1.0,0
103,104,"Johansson, Mr. Gustaf Joel",Mr,1,33.0,Youngadult,0,3,7540,8.6542,S,0.0,0.0,1.0,0
104,105,"Gustafsson, Mr. Anders Vilhelm",Mr,1,37.0,Adult,2,3,3101276,7.925,S,0.0,0.0,1.0,0
105,106,"Mionoff, Mr. Stoytcho",Mr,1,28.0,Youngadult,0,3,349207,7.8958,S,0.0,0.0,1.0,0
106,107,"Salkjelsvik, Miss. Anna Kristine",Miss,0,21.0,Teenager,0,3,343120,7.65,S,0.0,0.0,1.0,1
107,108,"Moss, Mr. Albert Johan",Mr,1,28.0,Youngadult,0,3,312991,7.775,S,0.0,0.0,1.0,1
108,109,"Rekic, Mr. Tido",Mr,1,38.0,Adult,0,3,349249,7.8958,S,0.0,0.0,1.0,0
109,110,"Moran, Miss. Bertha",Miss,0,28.0,Youngadult,1,3,371110,24.15,Q,0.0,1.0,0.0,1
110,111,"Porter, Mr. Walter Chamberlain",Mr,1,47.0,Adult,0,1,110465,52.0,S,0.0,0.0,1.0,0
111,112,"Zabour, Miss. Hileni",Miss,0,14.5,Teenager,1,3,2665,14.4542,C,1.0,0.0,0.0,0
112,113,"Barton, Mr. David John",Mr,1,22.0,Teenager,0,3,324669,8.05,S,0.0,0.0,1.0,0
113,114,"Jussila, Miss. Katriina",Miss,0,20.0,Teenager,1,3,4136,9.825,S,0.0,0.0,1.0,0
114,115,"Attalah, Miss. Malake",Miss,0,17.0,Teenager,0,3,2627,14.4583,C,1.0,0.0,0.0,0
115,116,"Pekoniemi, Mr. Edvard",Mr,1,21.0,Teenager,0,3,STON/O 2. 3101294,7.925,S,0.0,0.0,1.0,0
116,117,"Connors, Mr. Patrick",Mr,1,70.5,Elderly,0,3,370369,7.75,Q,0.0,1.0,0.0,0
117,118,"Turpin, Mr. William John Robert",Mr,1,29.0,Youngadult,1,2,11668,21.0,S,0.0,0.0,1.0,0
118,119,"Baxter, Mr. Quigg Edmond",Mr,1,24.0,Teenager,1,1,PC 17558,247.5208,C,1.0,0.0,0.0,0
119,120,"Andersson, Miss. Ellis Anna Maria",Miss,0,2.0,Child,6,3,347082,31.275,S,0.0,0.0,1.0,0
120,121,"Hickman, Mr. Stanley George",Mr,1,21.0,Teenager,2,2,S.O.C. 14879,73.5,S,0.0,0.0,1.0,0
121,122,"Moore, Mr. Leonard Charles",Mr,1,28.0,Youngadult,0,3,A4. 54510,8.05,S,0.0,0.0,1.0,0
122,123,"Nasser, Mr. Nicholas",Mr,1,32.5,Youngadult,1,2,237736,30.0708,C,1.0,0.0,0.0,0
123,124,"Webber, Miss. Susan",Miss,0,32.5,Youngadult,0,2,27267,13.0,S,0.0,0.0,1.0,1
124,125,"White, Mr. Percival Wayland",Mr,1,54.0,Adult,1,1,35281,77.2875,S,0.0,0.0,1.0,0
125,126,"Nicola-Yarred, Master. Elias",Master,1,12.0,Child,1,3,2651,11.2417,C,1.0,0.0,0.0,1
126,127,"McMahon, Mr. Martin",Mr,1,28.0,Youngadult,0,3,370372,7.75,Q,0.0,1.0,0.0,0
127,128,"Madsen, Mr. Fridtjof Arne",Mr,1,24.0,Teenager,0,3,C 17369,7.1417,S,0.0,0.0,1.0,1
128,129,"Peter, Miss. Anna",Miss,0,28.0,Youngadult,2,3,2668,22.3583,C,1.0,0.0,0.0,1
129,130,"Ekstrom, Mr. Johan",Mr,1,45.0,Adult,0,3,347061,6.975,S,0.0,0.0,1.0,0
130,131,"Drazenoic, Mr. Jozef",Mr,1,33.0,Youngadult,0,3,349241,7.8958,C,1.0,0.0,0.0,0
131,132,"Coelho, Mr. Domingos Fernandeo",Mr,1,20.0,Teenager,0,3,SOTON/O.Q. 3101307,7.05,S,0.0,0.0,1.0,0
132,133,"Robins, Mrs. Alexander A (Grace Charity Laury)",Mrs,0,47.0,Adult,1,3,A/5. 3337,14.5,S,0.0,0.0,1.0,0
133,134,"Weisz, Mrs. Leopold (Mathilde Francoise Pede)",Mrs,0,29.0,Youngadult,1,2,228414,26.0,S,0.0,0.0,1.0,1
134,135,"Sobey, Mr. Samuel James Hayden",Mr,1,25.0,Teenager,0,2,C.A. 29178,13.0,S,0.0,0.0,1.0,0
135,136,"Richard, Mr. Emile",Mr,1,23.0,Teenager,0,2,SC/PARIS 2133,15.0458,C,1.0,0.0,0.0,0
136,137,"Newsom, Miss. Helen Monypeny",Miss,0,19.0,Teenager,2,1,11752,26.2833,S,0.0,0.0,1.0,1
137,138,"Futrelle, Mr. Jacques Heath",Mr,1,37.0,Adult,1,1,113803,53.1,S,0.0,0.0,1.0,0
138,139,"Osen, Mr. Olaf Elon",Mr,1,16.0,Teenager,0,3,7534,9.2167,S,0.0,0.0,1.0,0
139,140,"Giglio, Mr. Victor",Mr,1,24.0,Teenager,0,1,PC 17593,79.2,C,1.0,0.0,0.0,0
140,141,"Boulos, Mrs. Joseph (Sultana)",Mrs,0,28.0,Youngadult,2,3,2678,15.2458,C,1.0,0.0,0.0,0
141,142,"Nysten, Miss. Anna Sofia",Miss,0,22.0,Teenager,0,3,347081,7.75,S,0.0,0.0,1.0,1
142,143,"Hakkarainen, Mrs. Pekka Pietari (Elin Matilda Dolck)",Mrs,0,24.0,Teenager,1,3,STON/O2. 3101279,15.85,S,0.0,0.0,1.0,1
143,144,"Burke, Mr. Jeremiah",Mr,1,19.0,Teenager,0,3,365222,6.75,Q,0.0,1.0,0.0,0
144,145,"Andrew, Mr. Edgardo Samuel",Mr,1,18.0,Teenager,0,2,231945,11.5,S,0.0,0.0,1.0,0
145,146,"Nicholls, Mr. Joseph Charles",Mr,1,19.0,Teenager,2,2,C.A. 33112,36.75,S,0.0,0.0,1.0,0
146,147,"Andersson, Mr. August Edvard (""Wennerstrom"")",Mr,1,27.0,Youngadult,0,3,350043,7.7958,S,0.0,0.0,1.0,1
147,148,"Ford, Miss. Robina Maggie ""Ruby""",Miss,0,9.0,Child,4,3,W./C. 6608,34.375,S,0.0,0.0,1.0,0
148,149,"Navratil, Mr. Michel (""Louis M Hoffman"")",Mr,1,36.5,Adult,2,2,230080,26.0,S,0.0,0.0,1.0,0
149,150,"Byles, Rev. Thomas Roussel Davids",Officer,1,42.0,Adult,0,2,244310,13.0,S,0.0,0.0,1.0,0
150,151,"Bateman, Rev. Robert James",Officer,1,51.0,Adult,0,2,S.O.P. 1166,12.525,S,0.0,0.0,1.0,0
151,152,"Pears, Mrs. Thomas (Edith Wearne)",Mrs,0,22.0,Teenager,1,1,113776,66.6,S,0.0,0.0,1.0,1
152,153,"Meo, Mr. Alfonzo",Mr,1,55.5,Adult,0,3,A.5. 11206,8.05,S,0.0,0.0,1.0,0
153,154,"van Billiard, Mr. Austin Blyler",Mr,1,40.5,Adult,2,3,A/5. 851,14.5,S,0.0,0.0,1.0,0
154,155,"Olsen, Mr. Ole Martin",Mr,1,28.0,Youngadult,0,3,Fa 265302,7.3125,S,0.0,0.0,1.0,0
155,156,"Williams, Mr. Charles Duane",Mr,1,51.0,Adult,1,1,PC 17597,61.3792,C,1.0,0.0,0.0,0
156,157,"Gilnagh, Miss. Katherine ""Katie""",Miss,0,16.0,Teenager,0,3,35851,7.7333,Q,0.0,1.0,0.0,1
157,158,"Corn, Mr. Harry",Mr,1,30.0,Youngadult,0,3,SOTON/OQ 392090,8.05,S,0.0,0.0,1.0,0
158,159,"Smiljanic, Mr. Mile",Mr,1,28.0,Youngadult,0,3,315037,8.6625,S,0.0,0.0,1.0,0
159,160,"Sage, Master. Thomas Henry",Master,1,28.0,Youngadult,10,3,CA. 2343,69.55,S,0.0,0.0,1.0,0
160,161,"Cribb, Mr. John Hatfield",Mr,1,44.0,Adult,1,3,371362,16.1,S,0.0,0.0,1.0,0
161,162,"Watt, Mrs. James (Elizabeth ""Bessie"" Inglis Milne)",Mrs,0,40.0,Adult,0,2,C.A. 33595,15.75,S,0.0,0.0,1.0,1
162,163,"Bengtsson, Mr. John Viktor",Mr,1,26.0,Youngadult,0,3,347068,7.775,S,0.0,0.0,1.0,0
163,164,"Calic, Mr. Jovo",Mr,1,17.0,Teenager,0,3,315093,8.6625,S,0.0,0.0,1.0,0
164,165,"Panula, Master. Eino Viljami",Master,1,1.0,Child,5,3,3101295,39.6875,S,0.0,0.0,1.0,0
165,166,"Goldsmith, Master. Frank John William ""Frankie""",Master,1,9.0,Child,2,3,363291,20.525,S,0.0,0.0,1.0,1
166,167,"Chibnall, Mrs. (Edith Martha Bowerman)",Mrs,0,28.0,Youngadult,1,1,113505,55.0,S,0.0,0.0,1.0,1
167,168,"Skoog, Mrs. William (Anna Bernhardina Karlsson)",Mrs,0,45.0,Adult,5,3,347088,27.9,S,0.0,0.0,1.0,0
168,169,"Baumann, Mr. John D",Mr,1,28.0,Youngadult,0,1,PC 17318,25.925,S,0.0,0.0,1.0,0
169,170,"Ling, Mr. Lee",Mr,1,28.0,Youngadult,0,3,1601,56.4958,S,0.0,0.0,1.0,0
170,171,"Van der hoef, Mr. Wyckoff",Mr,1,61.0,Elderly,0,1,111240,33.5,S,0.0,0.0,1.0,0
171,172,"Rice, Master. Arthur",Master,1,4.0,Child,5,3,382652,29.125,Q,0.0,1.0,0.0,0
172,173,"Johnson, Miss. Eleanor Ileen",Miss,0,1.0,Child,2,3,347742,11.1333,S,0.0,0.0,1.0,1
173,174,"Sivola, Mr. Antti Wilhelm",Mr,1,21.0,Teenager,0,3,STON/O 2. 3101280,7.925,S,0.0,0.0,1.0,0
174,175,"Smith, Mr. James Clinch",Mr,1,56.0,Adult,0,1,17764,30.6958,C,1.0,0.0,0.0,0
175,176,"Klasen, Mr. Klas Albin",Mr,1,18.0,Teenager,2,3,350404,7.8542,S,0.0,0.0,1.0,0
176,177,"Lefebre, Master. Henry Forbes",Master,1,28.0,Youngadult,4,3,4133,25.4667,S,0.0,0.0,1.0,0
